naics_code_2022,naics_title_2022,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,direct,333519,312,11511,855852000,74350.79
333611,Turbine and Turbine Generator Set Unit Manufacturing,direct,333611,208,28061,2684733000,95674.89
333612,"Speed Changer, Industrial High‑Speed Drive and Gear Manufacturing",direct,333612,201,10712,713620000,66618.75
333613,Mechanical Power Transmission Equipment Manufacturing,direct,333613,226,15636,1045601000,66871.39
333618,Other Engine Equipment Manufacturing,direct,333618,273,41155,3079677000,74831.17
333912,Air and Gas Compressor Manufacturing,direct,333912,282,19108,1468992000,76878.38
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",direct,333914,547,37289,3066216000,82228.43
333921,Elevator and Moving Stairway Manufacturing,direct,333921,182,8198,608146000,74182.24
333922,Conveyor and Conveying Equipment Manufacturing,direct,333922,785,41377,3184509000,76963.26
333923,"Overhead Traveling Crane, Hoist and Monorail System Manufacturing",direct,333923,321,20029,1306507000,65230.77
333924,"Industrial Truck, Tractor, Trailer and Stacker Machinery Manufacturing",direct,333924,328,30512,2122275000,69555.42
333991,Power‑Driven Hand Tool Manufacturing,direct,333991,121,7111,490906000,69034.73
333992,Welding and Soldering Equipment Manufacturing,direct,333992,520,15231,1180128000,77481.98
333993,Packaging Machinery Manufacturing,direct,333993,516,26153,1998463000,76414.29
333994,Industrial Process Furnace and Oven Manufacturing,direct,333994,312,9842,711509000,72293.13
333995,Fluid Power Cylinder and Actuator Manufacturing,direct,333995,289,19399,1481098000,76349.19
333996,Fluid Power Pump and Motor Manufacturing,direct,333996,149,12661,951534000,75154.73
