rank,naics_code,entity_name,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022,bls_establishments_2024,bls_employment_2024,bls_average_annual_pay_usd_2024,bls_employment_growth_pct_2024,bls_pay_growth_pct_2024,sba_size_standard_basis,sba_size_standard_value,sba_size_standard_display,employees_per_establishment,payroll_per_establishment_usd,employment_gap_ratio_bls_to_cbp,fragmentation,operating_complexity,willingness_to_pay,growth,market_scale,workflow_intensity,thesis_fit,software_wedge,rollup_wedge,confidence,workflow_matrix_industry_code,workflow_mapping_type,workflow_coverage_share_pct,workflow_frontline_operator_share_pct,workflow_knowledge_work_share_pct,workflow_documentation,workflow_coordination,workflow_compliance,workflow_care_service,workflow_top_occupations,recommended_move,summary,caveats
11,621492,Kidney Dialysis Centers,direct,621492,8449,136099,7680353000,56432.1,8021,128689,73095,-0.3,4.4,receipts_millions_usd,47.0,$47.00M,16.11,909025.09,0.946,71.2,44.7,65.6,48.0,80.8,78.5,92.0,66.9,76.1,90.0,621400,numeric_parent,78.5,76.4,15.4,78.9,74.5,75.7,83.6,Registered nurses (15.0%)|Medical assistants (7.1%)|Medical secretaries and administrative assistants (5.1%),build,Care delivery workflows are operations-heavy and often documentation-heavy. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
12,621511,Medical Laboratories,direct,621511,12906,238815,16940392000,70935.21,21784,225090,82328,-2.7,4.2,receipts_millions_usd,41.5,$41.50M,18.5,1312598.17,0.943,73.0,43.7,63.6,31.1,89.3,78.3,96.0,65.9,75.5,90.0,621500,numeric_parent,68.4,78.8,11.8,76.1,72.0,72.3,73.1,Phlebotomists (14.6%)|Radiologic technologists and technicians (5.6%)|Couriers and messengers (5.4%),build,Care delivery workflows are operations-heavy and often documentation-heavy. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
13,623220,Residential Mental Health and Substance Abuse Facilities,direct,623220,8667,217447,9822744000,45173.05,10166,262284,51402,5.3,3.5,receipts_millions_usd,19.0,$19.00M,25.09,1133349.95,1.206,65.5,63.2,36.5,75.2,85.6,67.3,80.0,64.8,65.5,90.0,623220,exact_code,63.9,56.7,32.1,75.5,75.3,71.8,80.4,Social and human service assistants (7.8%)|Psychiatric technicians (4.7%)|Registered nurses (4.7%),build,Care delivery workflows are operations-heavy and often documentation-heavy. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
14,457120,Other Gasoline Stations,aggregated_2017_to_2022,447190,12757,155860,5028071000,32260.18,9277,93086,38977,-1.0,2.9,receipts_millions_usd,33.5,$33.50M,12.22,394142.12,0.597,80.0,48.4,39.3,34.4,77.4,77.8,92.0,64.4,72.2,75.0,457100,numeric_parent,99.3,95.9,0.3,52.3,55.3,55.4,52.5,Cashiers (60.0%)|First-line supervisors of retail sales workers (10.6%)|Retail salespersons (5.4%),build,Multi-site retail operations can create recurring coordination and labor workflows. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP business anchors are aggregated forward from 2017 NAICS into the 2022 definition. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
15,312120,Breweries,direct,312120,5165,95186,4223849000,44374.69,6044,108309,49340,-1.2,4.1,employees,1250.0,"1,250 employees",18.43,817782.96,1.138,65.0,57.5,59.9,39.6,70.8,76.3,77.0,63.7,69.6,90.0,312100,numeric_parent,95.8,84.6,8.2,60.0,65.4,67.5,56.8,"Bartenders (11.7%)|Packaging and filling machine operators and tenders (8.5%)|Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders (7.6%)",build,"Physical operations can support repeatable workflow software, but are not the clearest first wedge. Fragmentation and workflow load support a build-first wedge.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
16,722514,"Cafeterias, Grill Buffets, and Buffets",direct,722514,4774,70975,1532685000,21594.72,5199,75979,26981,0.9,4.0,receipts_millions_usd,34.0,$34.00M,14.87,321048.39,1.071,66.8,55.8,40.4,55.5,54.4,77.9,86.0,63.4,65.6,90.0,722000,broad_parent,98.3,96.1,0.6,46.0,58.7,56.8,57.4,"Fast food and counter workers (26.9%)|Waiters and waitresses (16.1%)|Cooks, restaurant (10.5%)",build,"Hospitality and food-service markets are location-heavy, labor-heavy, and workflow-driven. Fragmentation and workflow load support a build-first wedge.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
17,621493,Freestanding Ambulatory Surgical and Emergency Centers,direct,621493,10193,194620,12057584000,61954.5,9130,178378,74063,0.8,3.0,receipts_millions_usd,19.0,$19.00M,19.09,1182927.89,0.917,70.5,48.5,37.5,49.0,86.4,78.5,86.0,63.1,66.3,90.0,621400,numeric_parent,78.5,76.4,15.4,78.9,74.5,75.7,83.6,Registered nurses (15.0%)|Medical assistants (7.1%)|Medical secretaries and administrative assistants (5.1%),build,Care delivery workflows are operations-heavy and often documentation-heavy. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
18,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",direct,532120,6309,79284,4651612000,58670.25,7590,94130,65261,-1.1,1.4,receipts_millions_usd,47.0,$47.00M,12.57,737297.83,1.187,73.3,41.6,63.0,28.8,70.6,81.0,77.0,62.6,72.5,90.0,532100,numeric_parent,91.0,91.1,2.1,68.7,64.9,66.1,59.6,Counter and rental clerks (29.6%)|Cleaners of vehicles and equipment (11.4%)|Bus and truck mechanics and diesel engine specialists (5.9%),build,"Property operations can be viable, but buyer quality varies widely. Fragmentation and workflow load support a build-first wedge.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
19,323111,Commercial Printing (except Screen and Books),direct,323111,15430,282135,16718709000,59257.83,18318,251343,65684,-3.9,4.3,employees,650.0,650 employees,18.28,1083519.7,0.891,74.1,51.1,35.5,26.9,90.1,77.7,83.0,61.7,66.7,90.0,323000,broad_parent,93.3,84.6,8.9,65.4,70.0,69.5,55.8,Printing press operators (23.9%)|Print binding and finishing workers (8.6%)|Customer service representatives (4.5%),build,"Physical operations can support repeatable workflow software, but are not the clearest first wedge. Fragmentation and workflow load support a build-first wedge.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
20,484210,Used Household and Office Goods Moving,direct,484210,9803,105910,4706454000,44438.24,9944,93872,49484,-4.7,2.9,receipts_millions_usd,34.0,$34.00M,10.8,480103.44,0.886,79.4,44.0,43.6,16.8,73.6,80.1,84.0,61.5,70.3,90.0,484000,broad_parent,93.8,93.3,2.5,60.6,61.4,72.7,49.5,"Heavy and tractor-trailer truck drivers (58.3%)|Laborers and freight, stock, and material movers, hand (7.0%)|Bus and truck mechanics and diesel engine specialists (3.7%)",build,Logistics and routing workflows fit the operator-heavy wedge thesis. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
21,337110,Wood Kitchen Cabinet and Counter Top Manufacturing,direct,337110,6118,102338,4853916000,47430.24,7948,115027,55462,-1.8,5.2,employees,750.0,750 employees,16.73,793382.8,1.124,68.3,52.9,37.1,41.3,73.6,77.2,77.0,60.8,63.7,90.0,3370A1,broad_parent,82.5,87.0,7.0,61.0,64.7,69.1,50.1,"Cabinetmakers and bench carpenters (18.1%)|Woodworking machine setters, operators, and tenders, except sawing (4.7%)|First-line supervisors of production and operating workers (4.6%)",build,"Physical operations can support repeatable workflow software, but are not the clearest first wedge. Fragmentation and workflow load support a build-first wedge.","National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
22,561621,Security Systems Services (except Locksmiths),direct,561621,7042,125873,8479439000,67365.03,11162,140798,80185,-0.5,-0.1,receipts_millions_usd,25.0,$25.00M,17.87,1204123.69,1.119,68.7,43.4,46.8,30.6,80.5,78.4,82.0,60.4,65.9,90.0,561620,numeric_parent,84.8,83.8,7.9,70.8,71.0,72.3,49.4,Security and fire alarm systems installers (33.4%)|Locksmiths and safe repairers (6.7%)|General and operations managers (5.1%),build,Outsourced operator services often have repeated labor and compliance workflows. Fragmentation and workflow load support a build-first wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately. | Workflow score is based on the visible BLS occupation mix and may miss some small or suppressed occupations."
23,236118,Residential Remodelers,direct,236118,133345,462690,25469622000,55046.84,126785,455708,62228,2.2,4.0,receipts_millions_usd,45.0,$45.00M,3.47,191005.45,0.985,98.4,23.7,47.6,64.4,93.6,78.3,96.0,69.2,85.3,90.0,236100,numeric_parent,88.5,80.8,5.8,67.0,74.3,73.9,56.5,Carpenters (22.9%)|Construction laborers (14.8%)|First-line supervisors of construction trades and extraction workers (8.5%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
24,236115,New Single-family Housing Construction (Except For-Sale Builders),direct,236115,59568,238333,15139468000,63522.33,89841,376484,81341,-1.2,4.1,receipts_millions_usd,45.0,$45.00M,4.0,254154.38,1.58,96.7,15.5,49.6,39.6,88.7,78.3,78.0,62.6,80.1,85.0,236100,numeric_parent,88.5,80.8,5.8,67.0,74.3,73.9,56.5,Carpenters (22.9%)|Construction laborers (14.8%)|First-line supervisors of construction trades and extraction workers (8.5%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
25,236220,Commercial and Institutional Building Construction,direct,236220,39005,618523,57022954000,92192.13,57264,741745,101248,2.8,4.9,receipts_millions_usd,45.0,$45.00M,15.86,1461939.6,1.199,79.8,34.2,66.8,73.5,96.5,74.3,86.0,68.8,79.6,90.0,236200,numeric_parent,88.6,71.7,11.5,67.0,75.4,75.3,56.1,Construction laborers (13.2%)|Carpenters (13.0%)|First-line supervisors of construction trades and extraction workers (12.2%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
26,484110,"General Freight Trucking, Local",direct,484110,45436,317257,15469416000,48759.89,47957,290974,61961,-2.1,2.4,receipts_millions_usd,34.0,$34.00M,6.98,340466.06,0.917,92.0,31.5,40.9,24.5,90.0,80.1,100.0,65.0,78.4,90.0,484000,broad_parent,93.8,93.3,2.5,60.6,61.4,72.7,49.5,"Heavy and tractor-trailer truck drivers (58.3%)|Laborers and freight, stock, and material movers, hand (7.0%)|Bus and truck mechanics and diesel engine specialists (3.7%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
27,531110,Lessors of Residential Buildings and Dwellings,direct,531110,74908,345421,18390154000,53239.83,66252,371693,64018,1.1,4.4,receipts_millions_usd,34.0,$34.00M,4.61,245503.2,1.076,96.4,24.7,39.2,59.7,91.1,74.2,75.0,64.0,78.3,90.0,531000,broad_parent,92.1,70.0,7.6,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)|Property, real estate, and community association managers (13.1%)|Real estate sales agents (8.4%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
28,484121,"General Freight Trucking, Long‑Distance, Truckload",direct,484121,63315,592167,35233622000,59499.47,62662,518620,65796,-3.8,1.7,receipts_millions_usd,34.0,$34.00M,9.35,556481.43,0.876,89.1,35.0,45.2,15.3,95.2,80.1,100.0,64.9,78.2,90.0,484000,broad_parent,93.8,93.3,2.5,60.6,61.4,72.7,49.5,"Heavy and tractor-trailer truck drivers (58.3%)|Laborers and freight, stock, and material movers, hand (7.0%)|Bus and truck mechanics and diesel engine specialists (3.7%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
29,484220,"Specialized Freight (except Used Goods) Trucking, Local",direct,484220,32829,227981,14260653000,62551.94,30607,224519,68616,-0.2,2.9,receipts_millions_usd,34.0,$34.00M,6.94,434391.94,0.985,90.9,27.7,42.6,40.2,88.0,80.1,98.0,65.5,78.0,90.0,484000,broad_parent,93.8,93.3,2.5,60.6,61.4,72.7,49.5,"Heavy and tractor-trailer truck drivers (58.3%)|Laborers and freight, stock, and material movers, hand (7.0%)|Bus and truck mechanics and diesel engine specialists (3.7%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
30,236117,New Housing For-Sale Builders,direct,236117,12612,130923,14780215000,112892.43,5478,57936,129156,8.1,5.5,receipts_millions_usd,45.0,$45.00M,10.38,1171916.83,0.443,82.4,19.1,63.5,90.6,84.8,78.3,78.0,66.8,77.6,85.0,236100,numeric_parent,88.5,80.8,5.8,67.0,74.3,73.9,56.5,Carpenters (22.9%)|Construction laborers (14.8%)|First-line supervisors of construction trades and extraction workers (8.5%),acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: An elite wage profile often signals knowledge-work or institution-heavy buying behavior.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | CBP 2022 employment and BLS 2024 private-sector employment differ materially; treat labor scale as directional. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
31,722515,Snack and Nonalcoholic Beverage Bars,direct,722515,78856,876388,17869091000,20389.47,83817,945076,24105,0.4,5.2,receipts_millions_usd,22.5,$22.50M,11.11,226604.08,1.078,87.1,48.1,28.8,58.1,93.5,77.9,92.0,67.6,76.3,90.0,722000,broad_parent,98.3,96.1,0.6,46.0,58.7,56.8,57.4,"Fast food and counter workers (26.9%)|Waiters and waitresses (16.1%)|Cooks, restaurant (10.5%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
32,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),direct,531120,34567,172451,13995051000,81153.78,27222,159335,105144,1.4,3.2,receipts_millions_usd,34.0,$34.00M,4.99,404867.39,0.924,93.9,10.8,42.1,54.3,86.4,74.2,85.0,61.6,76.3,90.0,531000,broad_parent,92.1,70.0,7.6,70.7,73.0,70.1,58.5,"Maintenance and repair workers, general (16.8%)|Property, real estate, and community association managers (13.1%)|Real estate sales agents (8.4%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses a broader published BLS parent industry; treat occupation mix as directional rather than exact for this NAICS line."
33,561720,Janitorial Services,direct,561720,67295,1067762,30776401000,28823.28,83174,1067151,33285,0.6,2.8,receipts_millions_usd,22.0,$22.00M,15.87,457335.63,0.999,81.0,56.3,32.8,46.4,95.9,81.7,100.0,68.9,75.7,90.0,561700,numeric_parent,94.3,95.0,1.1,56.5,68.7,67.5,61.2,"Janitors and cleaners, except maids and housekeeping cleaners (37.6%)|Landscaping and groundskeeping workers (24.6%)|Pest control workers (4.1%)",acquire,The market looks more compelling as a fragmented roll-up lane. Key reason: The fit is better for fragmentation than for a clean software wedge.,"National-only slice; regional density and local regulatory variation are not yet represented. | Workflow burden is inferred from public industry structure and occupation mix, not company-level software workflow evidence. | Workflow layer uses the closest published BLS parent industry because the matrix does not expose this NAICS line separately."
